id,name,sort_name,aliases,note
nadasdy-adam,Nádasdy Ádám,Nadasdy Adam,"Nadasdy Adam|Nádasdy Ádám",nyelvész és író
pilinszky-janos,Pilinszky János,Pilinszky Janos,"Pilinszky Janos|Pilinszky János",költő
weores-sandor,Weöres Sándor,Weores Sandor,"Weores Sandor|Weöres Sándor",költő és műfordító
hamvas-bela,Hamvas Béla,Hamvas Bela,"Hamvas Bela|Hamvas Béla",esszéista
